family_id	family_number	n_spans
family_001	1	14
family_002	2	14
family_003	3	14
family_004	4	14
family_005	5	14
family_006	6	14
family_007	7	14
family_008	8	14
family_009	9	14
family_010	10	14
family_011	11	14
family_012	12	14
family_013	13	14
family_014	14	14
family_015	15	14
family_016	16	14
family_017	17	14
family_018	18	14
family_019	19	14
family_020	20	14
family_021	21	14
family_022	22	14
family_023	23	14
family_024	24	14
family_025	25	14
family_026	26	14
family_027	27	14
family_028	28	14
family_029	29	14
family_030	30	14
family_031	31	14
family_032	32	14
family_033	33	13
family_034	34	13
family_035	35	13
family_036	36	13
family_037	37	13
family_038	38	13
family_039	39	13
family_040	40	13
family_041	41	13
family_042	42	13
family_043	43	13
family_044	44	13
family_045	45	13
family_046	46	13
family_047	47	12
family_048	48	12
family_049	49	12
family_050	50	12
family_051	51	12
family_052	52	12
family_053	53	12
family_054	54	12
family_055	55	12
family_056	56	12
family_057	57	12
family_058	58	12
family_059	59	12
family_060	60	12
family_061	61	12
family_062	62	12
family_063	63	11
family_064	64	11
family_065	65	11
family_066	66	11
family_067	67	11
family_068	68	10
family_069	69	10
