span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank
1-24	1	24	24	0	69	(root)	(synthetic)	True	
3-24	3	24	22	5	69	SubspanRepetition-Coordination-Maximal|PitchRange-Question-Maximal|Downdrift-DeclarativeContentQ-Maximal|Downdrift-YesNoQ-Maximal|FinalPitch-YesNoQ-Maximal	intonational|morphosyntactic	False	22
4-24	4	24	21	2	69	PitchRange-Declarative-Maximal|FinalPitch-Declarative-Maximal	intonational	False	25
5-23	5	23	19	4	69	Accent-PenultimateLengthening-Maximal-Subj|Tonal-ToneDoubling-Maximal-Subj|Tonal-FinalRetraction-Maximal-Subj|Tonal-Plateauing-Maximal-Subj	phonological	False	24
7-8	7	8	2	1	24	Segmental-Assimilation-Neg	phonological	False	13
7-15	7	15	9	1	10	NonPermutability-Strict	morphosyntactic	False	3
7-19	7	19	13	10	37	FreeOccurrence-Maximal/elsewhere|BiuniquenessDeviation-TAMP|Length-DisyllabicMinimality|NegTonePattern2-Neg1-NoOM-MonoSyll|NegTonePattern2-Neg1-Other|NegTonePattern3-PERM-NoOM-MonoSyll|NegTonePattern3-PERM-NoOM-DiSyll|NegTonePattern3-PERM-NoOM-Other|NegTonePattern3-PERM-OM-MonoSyll|NegTonePattern3-PERM-OM-Other	length|morphosyntactic|tonal	False	18
7-20	7	20	14	2	51	FreeOccurrence-Maximal-AFF/2pOBJ|Ciscategorial-Maximal	length|morphosyntactic	False	21
7-21	7	21	15	1	69	NonInterruptibility	morphosyntactic	False	26
7-23	7	23	17	5	69	NonPermutability-Scopal|Accent-PenultimateLengthening-Maximal-NoSubj|Tonal-ToneDoubling-Maximal-NoSubj|Tonal-FinalRetraction-Maximal-NoSubj|Tonal-Plateauing-Maximal-NoSubj	morphosyntactic|phonological	False	23
8-10	8	10	3	3	24	Segmental-HiatusResolution-Glide|Segmental-HiatusResolution-Deletion|TonePattern7-noOM	phonological|tonal	False	14
8-12	8	12	5	3	8	Segmental-GlideInsertion|Segmental-Assimilation|TonePattern7-OM-Other	phonological|tonal	False	2
8-18	8	18	11	7	18	TonePattern6-RP-noOM-Other|TonePattern6-RP-OM|TonePattern6-HAB-noOM-Other|TonePattern6-HAB-OM|TonePattern8-noOM-JST-Other|TonePattern8-OM-JST-Other|NegTonePattern2-Neg2-IMP-Other	tonal	False	8
8-19	8	19	12	19	23	Segmental-muContraction|TonePattern6-RP-noOM-MonoSyll|TonePattern6-HAB-noOM-MonoSyll|TonePattern7-OM-MonoSyll|TonePattern8-noOM-JST-MonoSyll|TonePattern8-noOM-JST-DiSyll|TonePattern8-OM-JST-MonoSyll|TonePattern8-OM-JST-DiTriSyll|NegTonePattern2-Neg2-IMP-NoOM-MonoSyll|NegTonePattern2-Neg2-SeqPFV-NoOM-MonoSyll|NegTonePattern2-Neg2-SeqPFV-Other|NegTonePattern3-PfvSimPST-NoOM-MonoSyll|NegTonePattern3-PfvSimPST-Other|PitchRange-Declarative-Minimal|PitchRange-Question-Minimal|Downdrift-DeclarativeContentQ-Minimal|Downdrift-YesNoQ-Minimal|FinalPitch-Declarative-Minimal|FinalPitch-YesNoQ-Minimal	intonational|phonological|tonal	False	12
10-12	10	12	3	1	11	TonePattern4-noOM-Other	tonal	False	4
10-18	10	18	9	2	20	TonePattern5-noOM-Other|TonePattern5-OM	tonal	False	10
10-19	10	19	10	8	18	TonePattern4-noOM-MonoSyll|TonePattern4-noOM-DiSyll|TonePattern4-OM-MonoSyll|TonePattern4-OM-DiTriSyll|TonePattern4-OM-Other|TonePattern5-noOM-MonoDiSyll|NegTonePattern4-noOM|NegTonePattern4-OM	tonal	False	7
11-12	11	12	2	1	27	TonePattern2-OM-Other	tonal	False	16
11-18	11	18	8	1	36	TonePattern3-OM-Other	tonal	False	17
11-19	11	19	9	5	25	FreeOccurrence-Maximal-AFF/IMP2s|Tonal-ToneDoubling-Minimal|TonePattern2-OM-MonoSyll|TonePattern2-OM-DiSyll|TonePattern3-OM-MonoSyll	length|phonological|tonal	False	15
11-20	11	20	10	2	14	FreeOccurrence-Maximal-AFF/IMP2p|BiuniquenessDeviation-2pl	length|morphosyntactic	False	6
12-15	12	15	4	1	23	Tonal-RootExtensionHighTone	phonological	False	11
12-18	12	18	7	1	38	Segmental-VowelHarmony	phonological	False	19
12-19	12	19	8	6	14	FreeOccurrence-Minimal-AFF/IMP2s|SubspanRepetition-Coordination-Minimal|SubspanRepetition-Reduplication|Accent-PenultimateLengthening-Minimal|Tonal-FinalRetraction-Minimal|Tonal-Plateauing-Minimal	length|morphosyntactic|phonological	False	5
12-20	12	20	9	2	4	FreeOccurrence-Minimal-AFF/IMP2p|Ciscategorial-Minimal	length|morphosyntactic	False	1
15-17	15	17	3	1	40	BiuniquenessDeviation-Valency	morphosyntactic	False	20
19-21	19	21	3	1	18	Tonal-EncliticToneShift	phonological	False	9
