family_id	span_id
family_001	1-24
family_001	7-19
family_001	8-10
family_001	8-12
family_001	8-18
family_001	8-19
family_001	11-12
family_002	1-24
family_002	7-19
family_002	8-10
family_002	8-18
family_002	8-19
family_002	11-12
family_002	11-18
family_003	1-24
family_003	7-19
family_003	8-10
family_003	8-19
family_003	11-12
family_003	11-18
family_003	11-19
family_004	1-24
family_004	7-19
family_004	8-12
family_004	8-18
family_004	8-19
family_004	10-12
family_004	11-12
family_005	1-24
family_005	7-19
family_005	8-18
family_005	8-19
family_005	10-12
family_005	10-18
family_005	11-12
family_006	1-24
family_006	7-19
family_006	8-18
family_006	8-19
family_006	10-18
family_006	11-12
family_006	11-18
family_007	1-24
family_007	7-19
family_007	8-19
family_007	10-12
family_007	10-18
family_007	10-19
family_007	11-12
family_008	1-24
family_008	7-19
family_008	8-19
family_008	10-18
family_008	10-19
family_008	11-12
family_008	11-18
family_009	1-24
family_009	7-19
family_009	8-19
family_009	10-19
family_009	11-12
family_009	11-18
family_009	11-19
