chart	file	width	height	units
pooled_plot	pooled/sout2991_verbal_pooled_plot.pdf	53.6263636363636	14	cm
pooled_domainplot	pooled/sout2991_verbal_pooled_domainplot.pdf	53.6263636363636	14	cm
pooled_plot_indeterminate	pooled/sout2991_verbal_pooled_plot_indeterminate.pdf	47.7272727272727	7	cm
pooled_plot_indeterminate_global_layers	pooled/sout2991_verbal_pooled_plot_indeterminate_global_layers.pdf	47.7272727272727	7	cm
pooled_plot_morphosyntactic	pooled/sout2991_verbal_pooled_plot_morphosyntactic.pdf	51.7172727272727	9.1	cm
pooled_plot_morphosyntactic_global_layers	pooled/sout2991_verbal_pooled_plot_morphosyntactic_global_layers.pdf	51.7172727272727	9.1	cm
pooled_plot_phonological	pooled/sout2991_verbal_pooled_plot_phonological.pdf	48.9872727272727	7	cm
pooled_plot_phonological_global_layers	pooled/sout2991_verbal_pooled_plot_phonological_global_layers.pdf	48.9872727272727	7	cm
boundary_skyline	boundaries/sout2991_verbal_boundary_skyline.pdf	30.5454545454545	11	in
spanchart	laminar-families/sout2991_verbal_spanchart.pdf	26.7272727272727	8	in
morsyn_laminar_forest	laminar-families/sout2991_verbal_morsyn_laminar_forest.pdf	38.1818181818182	14	in
morsyn_tree_01	laminar-families/sout2991_verbal_morsyn_tree_01.pdf	22.9090909090909	8	in
morsyn_tree_02	laminar-families/sout2991_verbal_morsyn_tree_02.pdf	22.9090909090909	8	in
phon_laminar_forest	laminar-families/sout2991_verbal_phon_laminar_forest.pdf	38.1818181818182	14	in
phon_tree_01	laminar-families/sout2991_verbal_phon_tree_01.pdf	22.9090909090909	8	in
phon_tree_02	laminar-families/sout2991_verbal_phon_tree_02.pdf	22.9090909090909	8	in
indet_laminar_forest	laminar-families/sout2991_verbal_indet_laminar_forest.pdf	38.1818181818182	14	in
indet_tree_01	laminar-families/sout2991_verbal_indet_tree_01.pdf	22.9090909090909	8	in
morsyn_indet_laminar_forest	laminar-families/sout2991_verbal_morsyn_indet_laminar_forest.pdf	38.1818181818182	14	in
morsyn_indet_tree_01	laminar-families/sout2991_verbal_morsyn_indet_tree_01.pdf	22.9090909090909	8	in
morsyn_indet_tree_02	laminar-families/sout2991_verbal_morsyn_indet_tree_02.pdf	22.9090909090909	8	in
laminar_overlay	laminar-families/sout2991_verbal_laminar_overlay.pdf	38.1818181818182	14	in
laminar_overlay_legend	laminar-families/sout2991_verbal_laminar_overlay_legend.pdf	38.1818181818182	14	in
all_families_labeled	laminar-families/sout2991_verbal_all_families_labeled.pdf	38.1818181818182	14	in
all_families_labeled_legend	laminar-families/sout2991_verbal_all_families_labeled_legend.pdf	38.1818181818182	14	in
freqtree	laminar-families/sout2991_verbal_freqtree.pdf	30.5454545454545	10	in
most_binary_tree	laminar-families/sout2991_verbal_most_binary_tree.pdf	30.5454545454545	10	in
exemplary_trees_1	laminar-families/sout2991_verbal_exemplary_trees_1.pdf	149.1	27.26	cm
exemplary_trees_slide_1_tree	laminar-families/sout2991_verbal_exemplary_trees_slide_1_tree.pdf	25.4539090909091	7.5	in
exemplary_trees_slide_1_evidence	laminar-families/sout2991_verbal_exemplary_trees_slide_1_evidence.pdf	51.7172727272727	11.9	cm
exemplary_trees_2	laminar-families/sout2991_verbal_exemplary_trees_2.pdf	149.1	27.26	cm
exemplary_trees_slide_2_tree	laminar-families/sout2991_verbal_exemplary_trees_slide_2_tree.pdf	25.4539090909091	7.5	in
exemplary_trees_slide_2_evidence	laminar-families/sout2991_verbal_exemplary_trees_slide_2_evidence.pdf	51.7172727272727	7	cm
exemplary_trees_3	laminar-families/sout2991_verbal_exemplary_trees_3.pdf	149.1	27.26	cm
exemplary_trees_slide_3_tree	laminar-families/sout2991_verbal_exemplary_trees_slide_3_tree.pdf	25.4539090909091	7.5	in
exemplary_trees_slide_3_evidence	laminar-families/sout2991_verbal_exemplary_trees_slide_3_evidence.pdf	51.7172727272727	9.1	cm
forestspans_plot	pooled/sout2991_verbal_forestspans_plot.pdf	64.9090909090909	24	cm
tree_count_by_class	counts-and-chance/sout2991_verbal_tree_count_by_class.pdf	8	3.8	in
tree_count_bundles	counts-and-chance/sout2991_verbal_tree_count_bundles.pdf	8	3.8	in
tree_count_all	counts-and-chance/sout2991_verbal_tree_count_all.pdf	7	5	in
tree_count_without_adjacent	counts-and-chance/sout2991_verbal_tree_count_without_adjacent.pdf	8	5	in
fragmentation_test_plot	counts-and-chance/sout2991_verbal_fragmentation_test_plot.pdf	10	6.5	in
span_placement_test_by_group_plot	counts-and-chance/sout2991_verbal_span_placement_test_by_group_plot.pdf	11	9	in
arbitrary_layers_test_by_group_plot	counts-and-chance/sout2991_verbal_arbitrary_layers_test_by_group_plot.pdf	11	9	in
boundary_strength_test_jump_all	boundaries/sout2991_verbal_boundary_strength_test_jump_all.pdf	21	7	in
boundary_strength_test_level_all	boundaries/sout2991_verbal_boundary_strength_test_level_all.pdf	21	7	in
boundary_strength_test_jump_morphosyntactic	boundaries/sout2991_verbal_boundary_strength_test_jump_morphosyntactic.pdf	21	7	in
boundary_strength_test_level_morphosyntactic	boundaries/sout2991_verbal_boundary_strength_test_level_morphosyntactic.pdf	21	7	in
boundary_strength_test_jump_phonological	boundaries/sout2991_verbal_boundary_strength_test_jump_phonological.pdf	21	7	in
boundary_strength_test_level_phonological	boundaries/sout2991_verbal_boundary_strength_test_level_phonological.pdf	21	7	in
boundary_strength_test_jump_indeterminate	boundaries/sout2991_verbal_boundary_strength_test_jump_indeterminate.pdf	21	7	in
boundary_strength_test_level_indeterminate	boundaries/sout2991_verbal_boundary_strength_test_level_indeterminate.pdf	21	7	in
boundary_strength_test_jump_morsyn_indet	boundaries/sout2991_verbal_boundary_strength_test_jump_morsyn_indet.pdf	21	7	in
boundary_strength_test_level_morsyn_indet	boundaries/sout2991_verbal_boundary_strength_test_level_morsyn_indet.pdf	21	7	in
boundary_strength	boundaries/sout2991_verbal_boundary_strength.pdf	21	7	in
boundary_strength_distributions	boundaries/sout2991_verbal_boundary_strength_distributions.pdf	21	5	in
boundary_strength_overlay	boundaries/sout2991_verbal_boundary_strength_overlay.pdf	24.8181818181818	7	in
