chart	file	width	height	units
pooled_plot	yucu1253_verbal/pooled/yucu1253_verbal_pooled_plot.pdf	29.15	16.8	cm
pooled_domainplot	yucu1253_verbal/pooled/yucu1253_verbal_pooled_domainplot.pdf	29.15	16.8	cm
pooled_plot_indeterminate	yucu1253_verbal/pooled/yucu1253_verbal_pooled_plot_indeterminate.pdf	25.42	7	cm
pooled_plot_indeterminate_global_layers	yucu1253_verbal/pooled/yucu1253_verbal_pooled_plot_indeterminate_global_layers.pdf	25.42	7	cm
pooled_plot_morphosyntactic	yucu1253_verbal/pooled/yucu1253_verbal_pooled_plot_morphosyntactic.pdf	25	7	cm
pooled_plot_morphosyntactic_global_layers	yucu1253_verbal/pooled/yucu1253_verbal_pooled_plot_morphosyntactic_global_layers.pdf	25	7	cm
pooled_plot_phonological	yucu1253_verbal/pooled/yucu1253_verbal_pooled_plot_phonological.pdf	28.15	7	cm
pooled_plot_phonological_global_layers	yucu1253_verbal/pooled/yucu1253_verbal_pooled_plot_phonological_global_layers.pdf	28.15	7	cm
boundary_skyline	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_skyline.pdf	16	11	in
spanchart	yucu1253_verbal/laminar-families/yucu1253_verbal_spanchart.pdf	14	8	in
morsyn_laminar_forest	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_laminar_forest.pdf	20	14	in
morsyn_tree_01	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_tree_01.pdf	12	8	in
morsyn_tree_02	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_tree_02.pdf	12	8	in
phon_laminar_forest	yucu1253_verbal/laminar-families/yucu1253_verbal_phon_laminar_forest.pdf	20	14	in
phon_tree_01	yucu1253_verbal/laminar-families/yucu1253_verbal_phon_tree_01.pdf	12	8	in
phon_tree_02	yucu1253_verbal/laminar-families/yucu1253_verbal_phon_tree_02.pdf	12	8	in
phon_tree_03	yucu1253_verbal/laminar-families/yucu1253_verbal_phon_tree_03.pdf	12	8	in
indet_laminar_forest	yucu1253_verbal/laminar-families/yucu1253_verbal_indet_laminar_forest.pdf	20	14	in
indet_tree_01	yucu1253_verbal/laminar-families/yucu1253_verbal_indet_tree_01.pdf	12	8	in
indet_tree_02	yucu1253_verbal/laminar-families/yucu1253_verbal_indet_tree_02.pdf	12	8	in
morsyn_indet_laminar_forest	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_indet_laminar_forest.pdf	20	14	in
morsyn_indet_tree_01	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_indet_tree_01.pdf	12	8	in
morsyn_indet_tree_02	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_indet_tree_02.pdf	12	8	in
morsyn_indet_tree_03	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_indet_tree_03.pdf	12	8	in
morsyn_indet_tree_04	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_indet_tree_04.pdf	12	8	in
morsyn_indet_tree_05	yucu1253_verbal/laminar-families/yucu1253_verbal_morsyn_indet_tree_05.pdf	12	8	in
laminar_overlay	yucu1253_verbal/laminar-families/yucu1253_verbal_laminar_overlay.pdf	20	14	in
laminar_overlay_legend	yucu1253_verbal/laminar-families/yucu1253_verbal_laminar_overlay_legend.pdf	20	14	in
all_families_labeled	yucu1253_verbal/laminar-families/yucu1253_verbal_all_families_labeled.pdf	20	14	in
all_families_labeled_legend	yucu1253_verbal/laminar-families/yucu1253_verbal_all_families_labeled_legend.pdf	20	14	in
freqtree	yucu1253_verbal/laminar-families/yucu1253_verbal_freqtree.pdf	16	10	in
most_binary_tree	yucu1253_verbal/laminar-families/yucu1253_verbal_most_binary_tree.pdf	16	10	in
exemplary_trees_1	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_1.pdf	77.5	14.28	cm
exemplary_trees_slide_1_tree	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_1_tree.pdf	13.333	7.5	in
exemplary_trees_slide_1_evidence	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_1_evidence.pdf	26.47	10.5	cm
exemplary_trees_2	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_2.pdf	78.9	14.28	cm
exemplary_trees_slide_2_tree	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_2_tree.pdf	13.333	7.5	in
exemplary_trees_slide_2_evidence	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_2_evidence.pdf	27.94	7	cm
exemplary_trees_3	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_3.pdf	79.2	14.28	cm
exemplary_trees_slide_3_tree	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_3_tree.pdf	13.333	7.5	in
exemplary_trees_slide_3_evidence	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_3_evidence.pdf	28.15	8.4	cm
exemplary_trees_4	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_4.pdf	77.5	14.28	cm
exemplary_trees_slide_4_tree	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_4_tree.pdf	13.333	7.5	in
exemplary_trees_slide_4_evidence	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_4_evidence.pdf	26.47	10.5	cm
exemplary_trees_5	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_5.pdf	79.2	14.28	cm
exemplary_trees_slide_5_tree	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_5_tree.pdf	13.333	7.5	in
exemplary_trees_slide_5_evidence	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_5_evidence.pdf	28.15	8.4	cm
exemplary_trees_6	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_6.pdf	79.2	14.28	cm
exemplary_trees_slide_6_tree	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_6_tree.pdf	13.333	7.5	in
exemplary_trees_slide_6_evidence	yucu1253_verbal/laminar-families/yucu1253_verbal_exemplary_trees_slide_6_evidence.pdf	28.15	7	cm
forestspans_plot	yucu1253_verbal/pooled/yucu1253_verbal_forestspans_plot.pdf	34	24	cm
tree_count_by_class	yucu1253_verbal/counts-and-chance/yucu1253_verbal_tree_count_by_class.pdf	8	3.8	in
tree_count_bundles	yucu1253_verbal/counts-and-chance/yucu1253_verbal_tree_count_bundles.pdf	8	3.8	in
tree_count_all	yucu1253_verbal/counts-and-chance/yucu1253_verbal_tree_count_all.pdf	7	5	in
tree_count_without_adjacent	yucu1253_verbal/counts-and-chance/yucu1253_verbal_tree_count_without_adjacent.pdf	8	5	in
fragmentation_test_plot	yucu1253_verbal/counts-and-chance/yucu1253_verbal_fragmentation_test_plot.pdf	10	6.5	in
span_placement_test_by_group_plot	yucu1253_verbal/counts-and-chance/yucu1253_verbal_span_placement_test_by_group_plot.pdf	11	9	in
arbitrary_layers_test_by_group_plot	yucu1253_verbal/counts-and-chance/yucu1253_verbal_arbitrary_layers_test_by_group_plot.pdf	11	9	in
boundary_strength_test_jump_all	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_jump_all.pdf	11	7	in
boundary_strength_test_level_all	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_level_all.pdf	11	7	in
boundary_strength_test_jump_morphosyntactic	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_jump_morphosyntactic.pdf	11	7	in
boundary_strength_test_level_morphosyntactic	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_level_morphosyntactic.pdf	11	7	in
boundary_strength_test_jump_phonological	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_jump_phonological.pdf	11	7	in
boundary_strength_test_level_phonological	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_level_phonological.pdf	11	7	in
boundary_strength_test_jump_indeterminate	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_jump_indeterminate.pdf	11	7	in
boundary_strength_test_level_indeterminate	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_level_indeterminate.pdf	11	7	in
boundary_strength_test_jump_morsyn_indet	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_jump_morsyn_indet.pdf	11	7	in
boundary_strength_test_level_morsyn_indet	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_test_level_morsyn_indet.pdf	11	7	in
boundary_strength	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength.pdf	11	7	in
boundary_strength_distributions	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_distributions.pdf	11	5	in
boundary_strength_overlay	yucu1253_verbal/boundaries/yucu1253_verbal_boundary_strength_overlay.pdf	13	7	in
