Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
zenz1235	NA	verbal	constituency	Suprasegmental	Phonological	Tone template	NA	paradigmatic lexical tone melodies	10	13	Paradigm. Tone	allomorphy	NA
kaya1330	NA	verbal	constituency	Deviations	Indeterminate	Suppletion	NA	suppletion for number	13	15		allomorphy	NA
chac1251	NA	verbal	lexphon	Deviations	Indeterminate	Suppletion	NA	intransitive vowel allomorphy	8	9		allomorphy	NA
cent2127	NA	verbal	constituency	Segmental	Phonological	Consonant coalescence	NA	Uvular-velar consonant coalescence	2	16	Cons. Coal.	assimilation	NA
moco1246	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	NA	second.person	7	11	Harmony Affix	assimilation	NA
moco1246	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	NA	regressive	6	11	Harmony Type1	assimilation	NA
moco1246	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	NA	verb.conditioned.variability	4	7	Harmony Verb	assimilation	NA
zenz1235	NA	verbal	constituency	Suprasegmental	Phonological	Nasalization	NA	nasality spreading	13	17	Nasal. Spread.	assimilation	NA
moco1246	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Maximal	palatalization	6	15	Palatal. Max.	assimilation	NA
zenz1235	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Maximal	palatalization	7	13	Palatal. Max.	assimilation	NA
moco1246	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Minimal	palatalization	7	11	Palatal. Min.	assimilation	NA
zenz1235	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Minimal	palatalization	10	13	Palatal. Min.	assimilation	NA
yucu1253	NA	verbal	constituency	Segmental	Phonological	Vowel assimilation	NA	vowel assimilation	9	10	V-Assim.	assimilation	NA
