Element	Position_Name	Position_Number	widescope_right	widescope_left	fillable_botheither_conjunct	Comments
also	v:leftedge	1	y	n	y	
and	v:leftedge	1	n	n	n	
CONJUNCT	v:leftedge	1	y	n	n	
then	v:leftedge	1	n	n	n	
NP{S,A,P}	v:frontedXP	2	y	n	y	
QWORDS	v:frontedXP	2	n	y	y	
be	v:frontedauxiliary	3	n	y	y	
can	v:frontedauxiliary	3	y	y	y	
could	v:frontedauxiliary	3	n	y	y	
do	v:frontedauxiliary	3	n	y	y	
have	v:frontedauxiliary	3	y	n	y	
may	v:frontedauxiliary	3	n	n	y	
might	v:frontedauxiliary	3	n	n	y	
must	v:frontedauxiliary	3	n	y	y	
ought	v:frontedauxiliary	3	n	n	y	
shall	v:frontedauxiliary	3	n	n	y	
should	v:frontedauxiliary	3	y	n	y	
will	v:frontedauxiliary	3	y	n	y	
would	v:frontedauxiliary	3	n	n	y	
[-n]	v:frontedauxiliaryinflection	4	y	n	y	
[-s]	v:frontedauxiliaryinflection	4	n	y	n	
[-v]	v:frontedauxiliaryinflection	4	y	n	y	
NP{S,A}	v:npsubj1	5	n	n	y	
AD-VP	v:ad-VP1	6	n	y	y	
can	v:modal1	7	n	n	y	
could	v:modal1	7	y	n	y	
may	v:modal1	7	n	n	y	
might	v:modal1	7	n	n	y	
must	v:modal1	7	n	n	y	
shall	v:modal1	7	n	y	y	
should	v:modal1	7	n	n	y	
will	v:modal1	7	y	n	y	
would	v:modal1	7	n	n	y	
AD-S	v:sd-S2	8	n	y	y	
AD-VP	v:ad-VP2	9	n	n	y	
ha	v:perfect	10	n	n	n	
AD-S	v:ad-S3	11	n	n	y	
not	v:neg2	12	n	n	n	
AD-VP	v:ad-VP3	13	n	n	n	
AD-V	v:ad-V1	14	y	n	y	
[be-]	v:passive	15	n	n	y	
AD-S	v:ad-S4	16	n	n	y	
AD-VP	v:ad-VP4	17	n	n	y	
be	v:progressive	18	n	n	n	
not	v:neg4	19	y	n	y	
AD-VP	v:ad-VP5	20	n	n	y	
air	v:nominal	21	n	n	y	
baby	v:nominal	21	n	n	y	
breast	v:nominal	21	y	n	y	
caretaker	v:nominal	21	n	n	n	
child	v:nominal	21	n	n	y	
cross	v:nominal	21	n	y	y	
dog	v:nominal	21	n	n	y	
eye	v:nominal	21	n	n	y	
fact	v:nominal	21	n	y	n	
grounds	v:nominal	21	y	n	n	
hand	v:nominal	21	n	n	y	
house	v:nominal	21	n	n	n	
lip	v:nominal	21	n	n	y	
name	v:nominal	21	n	n	y	
nanny	v:nominal	21	y	n	y	
pet	v:nominal	21	n	n	y	
pressure	v:nominal	21	n	n	y	
rough	v:nominal	21	y	n	y	
sound	v:nominal	21	n	y	n	
spell	v:nominal	21	y	y	y	
spin	v:nominal	21	n	n	y	
stone	v:nominal	21	n	n	y	
strong	v:nominal	21	n	n	n	
[ab-]	v:latinprefix	22	n	n	y	
[ad-]	v:latinprefix	22	y	n	n	
[ante-]	v:latinprefix	22	n	n	y	
[be-]	v:latinprefix	22	n	n	y	
[cata-]	v:latinprefix	22	y	y	y	
[circum-]	v:latinprefix	22	n	n	y	
[co-]	v:latinprefix	22	n	n	y	
[contra-]	v:latinprefix	22	n	n	y	
[dia-]	v:latinprefix	22	n	n	y	
[dis-]	v:latinprefix	22	n	y	n	
[down-]	v:latinprefix	22	n	n	n	
[en-]	v:latinprefix	22	n	n	y	
[epi-]	v:latinprefix	22	n	n	y	
[eu-]	v:latinprefix	22	y	n	y	
[ex-]	v:latinprefix	22	n	n	y	
[fore-]	v:latinprefix	22	y	y	y	
[inter-]	v:latinprefix	22	n	n	n	
[intra-]	v:latinprefix	22	n	y	y	
[mis-]	v:latinprefix	22	n	n	y	
[ob-]	v:latinprefix	22	n	n	y	
[para-]	v:latinprefix	22	n	y	y	
[per-]	v:latinprefix	22	n	n	n	
[pro-]	v:latinprefix	22	n	y	y	
[se-]	v:latinprefix	22	n	n	y	
[sub-]	v:latinprefix	22	n	n	y	
[sup-]	v:latinprefix	22	n	n	y	
[sur-]	v:latinprefix	22	n	n	y	
[syn-]	v:latinprefix	22	y	n	n	
[tele-]	v:latinprefix	22	n	n	y	
[up-]	v:latinprefix	22	n	n	n	
ROOT	v:verbroot	23	n	n	y	na
[-ed]	v:verbinflection	24	n	n	y	
[-ing]	v:verbinflection	24	y	n	y	
[-s]	v:verbinflection	24	y	y	y	
NP{P,T}	v:obj-part	25	n	n	n	
VERBPART	v:obj-part	25	n	n	n	
Ad-VP	v:ad-VP6	26	y	n	n	
PP	v:PP	27	n	y	n	
AD-S	v:rightedge	28	n	y	n	
