Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels
1	Araona	arao1248	arao1248_v_ciscategorial.selection_maximal_broad	morphosyntactic	ciscategorial.selection	NA	maximal	broad	1	17	2	0.11	17	1	17	18	19	arao1248_verbal	morphosyntactic	Ciscat. Sel. Max. broad
2	Araona	arao1248	arao1248_v_ciscategorial.selection_maximal_narrow	morphosyntactic	ciscategorial.selection	NA	maximal	narrow	4	15	3	0.16	12	0.71	17	18	19	arao1248_verbal	morphosyntactic	Ciscat. Sel. Max. narrow
3	Araona	arao1248	arao1248_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	6	13	1	0.05	8	0.47	17	18	19	arao1248_verbal	morphosyntactic	Ciscat. Sel. Min.
4	Araona	arao1248	arao1248_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	4	17	2	0.11	14	0.82	17	18	19	arao1248_verbal	indeterminate	Free Ocurr. Max.
5	Araona	arao1248	arao1248_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	6	6	5	0.26	1	0.06	17	18	19	arao1248_verbal	indeterminate	Free Ocurr. Min.
6	Araona	arao1248	arao1248_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	4	16	1	0.05	13	0.76	17	18	19	arao1248_verbal	morphosyntactic	Non-interrupt. Compl.
7	Araona	arao1248	arao1248_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	6	6	5	0.26	1	0.06	17	18	19	arao1248_verbal	morphosyntactic	Non-interrupt. Simpl.
8	Araona	arao1248	arao1248_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	6	6	5	0.26	1	0.06	17	18	19	arao1248_verbal	morphosyntactic	Non-permut.
9	Araona	arao1248	arao1248_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	4	6	2	0.11	3	0.18	17	18	19	arao1248_verbal	morphosyntactic	Non-permut. Scope
10	Araona	arao1248	arao1248_v_recursion.based_maximal	morphosyntactic	recursion.based	NA	maximal	NA	4	15	3	0.16	12	0.71	17	18	19	arao1248_verbal	morphosyntactic	Subspan Rep. Max.
11	Araona	arao1248	arao1248_v_recursion.based_maximal_tso.marked	morphosyntactic	recursion.based	NA	maximal	tso.marked	1	17	2	0.11	17	1	17	18	19	arao1248_verbal	morphosyntactic	Subspan Rep. Tso Max.
12	Araona	arao1248	arao1248_v_recursion.based_minimal	indeterminate	recursion.based	NA	minimal	NA	6	6	5	0.26	1	0.06	17	18	19	arao1248_verbal	indeterminate	Subspan Rep. Min.
13	Araona	arao1248	arao1248_v_recursion.based_minimal_tso.marked	indeterminate	recursion.based	NA	minimal	tso.marked	4	14	1	0.05	11	0.65	17	18	19	arao1248_verbal	morphosyntactic	Subspan Rep. Tso Min.
