Test_Labels	Domain_Type	Left_Edge	Right_Edge	Size
FreeOccurrence-Minimal-AFF/IMP_2sg	length	10	17	8
FreeOccurrence-Maximal-AFF/IMP_2sg	length	9	17	9
FreeOccurrence-Minimal-AFF/IMP_2pl	length	10	18	9
FreeOccurrence-Maximal-AFF/IMP_2pl	length	9	18	10
FreeOccurrence-Maximal-AFF/2pOBJ	length	6	18	13
FreeOccurrence-Maximal/elsewhere	length	5	17	13
NonInterruptibility	morphosyntactic	5	19	15
NonPermutability-Strict	morphosyntactic	5	13	9
NonPermutability-Scopal	morphosyntactic	5	21	16
Ciscategorial-Maximal	morphosyntactic	5	18	14
Ciscategorial-Minimal	morphosyntactic	10	18	9
SubspanRepetition-Coordination-Maximal	morphosyntactic	1	22	22
SubspanRepetition-Coordination-Minimal	morphosyntactic	10	17	8
SubspanRepetition-Reduplication	length	10	17	8
BiuniquenessDeviation-2pl	morphosyntactic	9	18	10
BiuniquenessDeviation-TAMP	morphosyntactic	5	17	13
BiuniquenessDeviation-Valency	morphosyntactic	13	15	3
Segmental-VowelHarmony	phonological	10	16	7
Segmental-muContraction	phonological	6	17	12
Segmental-HiatusResolution-Glide	phonological	6	8	3
Segmental-HiatusResolution-Deletion	phonological	6	8	3
Segmental-GlideInsertion	phonological	6	10	5
Segmental-Assimilation	phonological	6	10	5
Segmental-Assimilation-Neg	phonological	5	6	2
Length-DisyllabicMinimality	phonological	5	17	13
Accent-PenultimateLengthening-Minimal	phonological	10	17	8
Accent-PenultimateLengthening-Maximal-NoSubj	phonological	5	21	17
Accent-PenultimateLengthening-Maximal-Subj	phonological	3	21	19
Tonal-ToneDoubling-Minimal	phonological 	9	17	9
Tonal-ToneDoubling-Maximal-NoSubj	phonological	5	21	17
Tonal-ToneDoubling-Maximal-Subj	phonological	3	21	19
Tonal-RootExtensionHighTone-IMP	phonological	10	17	8
Tonal-EncliticToneShift	phonological	5	19	15
Tonal-MeeussensRule	phonological	9	17	9
Tonal-Plateauing	phonological	5	19	15
Tonal-FinalRetraction	phonological	5	19	15
TonePattern2-OM	tonosegmental	9	17	9
TonePattern2-noOM	tonosegmental	10	17	8
TonePattern3	tonosegmental	8	17	10
TonePattern4-OM	tonosegmental	8	17	10
TonePattern4-noOM	tonosegmental	8	17	10
TonePattern5	tonosegmental	8	17	10
TonePattern6	tonosegmental	6	17	12
TonePattern7-OM	tonosegmental	6	17	12
TonerPattern7-noM	tonosegmental	6	17	12
TonePattern8-OM	tonosegmental	6	17	12
TonePattern8-noOM	tonosegmental	6	17	12
TonePatternNeg2	tonosegmental	8	17	10
TonePatternNeg3-PAST	tonosegmental	5	17	13
TonePatternNeg3-PERM	tonosegmental	5	17	13
TonePatternNeg-OM	tonosegmental	5	17	13
TonePatternNeg-noOM	tonosegmental	5	17	13
TonePatternHighToneExtension	tonosegmental	12	17	6
Intonation-DeclarativeContentQuestion	tonosegmental	2	22	21
Intonation-YesNoQuestion-Minimal	tonosegmental	2	22	21
Intonation-YesNoQuestion-Maximal	tonosegmental	1	22	22
