Language_ID	Planar_Type	Position	Position_Type	Elements	Class_Size	Notes
nyan1308	verbal	1	Slot	Q		
nyan1308	verbal	2	Zone	PRESUBJ		
nyan1308	verbal	3	Slot	SUBJ		
nyan1308	verbal	4	Slot	NEG		
nyan1308	verbal	5	Slot	SM		
nyan1308	verbal	6	Zone	TAMP		
nyan1308	verbal	7	Slot	OM		
nyan1308	verbal	8	Slot	ROOT		
nyan1308	verbal	9	Slot	UNPROD EXT		
nyan1308	verbal	10	Slot	STAT		
nyan1308	verbal	11	Slot	CAUS		
nyan1308	verbal	12	Slot	APP		
nyan1308	verbal	13	Slot	RECIP		
nyan1308	verbal	14	Slot	PASS		
nyan1308	verbal	15	Slot	FINAL		
nyan1308	verbal	16	Slot	POSTFINAL2P		
nyan1308	verbal	17	Zone	POSTFINALENC		
nyan1308	verbal	18	Slot	OBJ		
nyan1308	verbal	19	Zone	POSTOBJ		
